#  Check service error translations
"billink_check_error_code_501","Billink hat Ihre Anfrage abgelehnt. Bitte kontaktieren Sie Billink unter www.billink.nl oder wählen Sie eine andere Zahlungsmethode."
"billink_check_error_code_402","Die Telefonnummer ist ungültig"
"billink_check_error_code_406","Wählen Sie zwischen Privatperson und Unternehmen"
"billink_check_error_code_407","Wählen Sie zwischen Privatperson und Unternehmen"
"billink_check_error_code_408","Firmenname fehlt"
"billink_check_error_code_410","Nachname fehlt"
"billink_check_error_code_411","Handelsregisternummer fehlt"
"billink_check_error_code_412","Vorname fehlt"
"billink_check_error_code_414","Hausnummer fehlt"
"billink_check_error_code_415","Postleitzahl fehlt"
"billink_check_error_code_416","Ungültiges Postleitzahlenformat"
"billink_check_error_code_417","Telefonnummer fehlt, passen Sie dies in Ihrem Konto an (oben rechts)"
"billink_check_error_code_418","Ungültiges Geburtsdatum"
"billink_check_error_code_422","Mindestalter für Bestellungen über Billink beträgt 16 Jahre"
"billink_check_error_code_607","Auftraggeber oder Kunde nicht gefunden"
#  Order service error translations
"billink_order_error_code_406","Wählen Sie zwischen Privatperson und Unternehmen"
"billink_order_error_code_407","Wählen Sie zwischen Privatperson und Unternehmen"
"billink_order_error_code_408","Firmenname fehlt"
"billink_order_error_code_410","Nachname fehlt"
"billink_order_error_code_441","Vorname fehlt"
"billink_order_error_code_411","Wählen Sie zwischen Mann und Frau"
"billink_order_error_code_412","Wählen Sie zwischen Mann und Frau"
"billink_order_error_code_413","Straße fehlt"
"billink_order_error_code_414","Hausnummer fehlt"
"billink_order_error_code_415","Postleitzahl fehlt"
"billink_order_error_code_415","Stadt fehlt"
"billink_order_error_code_417","Telefonnummer fehlt, passen Sie dies in Ihrem Konto an (oben rechts)"
"billink_order_error_code_418","E-Mail fehlt"
"billink_order_error_code_420","Ländercode ungültig"
"billink_order_error_code_425","Kontonummer fehlt"
"billink_order_error_code_426","Name des Kontoinhabers fehlt"
"billink_order_error_code_427","Handelsregisternummer fehlt"
"billink_order_error_code_429","Handelsregisternummer ungültig"
"billink_order_error_code_443","Kontonummer ungültig"

"Add after","Später hinzufügen"
"Amount","Betrag"
"Billink Account ID","Billink ID"
"Billink Account Name","Billink Benutzername"
"Billink Billing Information","Billink Zahlungsinformationen"
"Billink Fee Active","Billink Gebühren aktiv"
"Billink Fee Label","Billink Gebührenlabel"
"Billink Fee Ranges","Billink Gebührenbereiche"
"Billink Fee Tax Class","Billink Gebührensteuerklasse"
"Billink Fee Type","Billink Gebührentyp"
"Billink","Billink"
"Birthdate","Geburtsdatum"
"Birthday","Geburtsdatum"
"Business","Geschäftlich"
"Chamber of commerce","HRB-Nummer"
"Checking module version...","Modulversion überprüfen..."
"Debug Mode","Debug-Modus"
"Delivery Address","Lieferadresse"
"Delivery house Extension","Lieferadresse: Erweiterung"
"Delivery house extension","Lieferadresse: Erweiterung"
"Delivery house number","Lieferadresse: Hausnummer"
"Delivery street name","Lieferadresse: Straßenname"
"Enable Backdoor Option","Option für Hintertür aktivieren (funktioniert nur im Testmodus)."
"Enabled","Aktiviert"
"Female","Weiblich"
"From","Von"
"House extension","Erweiterung"
"House number","Hausnummer"
"I agree with","Ich stimme zu"
"the terms and conditions of Billink","den Allgemeinen Geschäftsbedingungen von Billink"
"If 'Yes' is selected, orders are sent to the Billink test environment. Select 'No' to use a normal production site.","Wenn 'Ja' ausgewählt ist, werden Bestellungen an die Testumgebung von Billink gesendet. Wählen Sie 'Nein', um eine normale Produktionsumgebung zu verwenden."
"Is Alternate Delivery Address Allowed?","Ist eine alternative Lieferadresse zulässig?"
"Lets you determine what should be the result of the Billink credit check when the system is in Test mode.","Ermöglicht Ihnen festzulegen, was das Ergebnis der Billink-Bonitätsprüfung sein soll, wenn das System im Testmodus ist."
"Logo","Logo"
"Man","Mann"
"Max Amount","Maximalbetrag"
"Missing UUID","Fehlende UUID"
"No","Nein"
"Number","Nummer"
"Order Total Check","Bestellsummenprüfung"
"Order totals do not match","Bestellsummen stimmen nicht überein"
"Order totals do not match. ID: %d ; Calculated: %s ; QuoteTotal: %s" ,"Bestellsummen stimmen nicht überein. ID: %d; Berechnet: %s; Angegebene Summe: %s"
"Payment Fee","Zahlungsgebühr"
"Payment From Specific Countries","Zahlungen aus bestimmten Ländern."
"Payment from Applicable Countries","Zahlungen aus anwendbaren Ländern"
"Place Order","Bestellung aufgeben"
"Please contact your system administrator with a code 5001","Bitte kontaktieren Sie Ihren Systemadministrator mit dem Code 5001"
"Please contact your system administrator with a code 5002","Bitte kontaktieren Sie Ihren Systemadministrator mit dem Code 5002"
"Please contact your system administrator with a code 5003","Bitte kontaktieren Sie Ihren Systemadministrator mit dem Code 5003"
"Please contact your system administrator with a code 5004","Bitte kontaktieren Sie Ihren Systemadministrator mit dem Code 5004"
"Private","Privatperson"
"Sex","Geschlecht"
"Sort Order","Bestellreihenfolge"
"Street name","Straßenname"
"The Billink workflow for order %1 has started","Der Billink-Workflow für Bestellung %1 wurde gestartet"
"The start of the Billink workflow failed. Log in via the Billink portal to start the workflow from there.","Der Start des Billink-Workflows ist fehlgeschlagen. Melden Sie sich über das Billink-Portal an, um den Workflow von dort aus zu starten."
