#  Check service error translations
"billink_check_error_code_104","Incorrect workflow configuration"
"billink_check_error_code_105","Incorrect workflow configuration"
"billink_check_error_code_501","Billink has declined your request. Please contact Billink via www.billink.nl or choose another payment method."
"billink_check_error_code_402","Invalid phone number"
"billink_check_error_code_406","Choose between private and business"
"billink_check_error_code_407","Choose between private and business"
"billink_check_error_code_408","Company name missing"
"billink_check_error_code_410","Last name missing"
"billink_check_error_code_411","Chamber of Commerce number missing"
"billink_check_error_code_412","First name missing"
"billink_check_error_code_414","House number missing"
"billink_check_error_code_415","Postal code missing"
"billink_check_error_code_416","Incorrect postal code format"
"billink_check_error_code_417","Phone number missing, adjust this in your account (top right)"
"billink_check_error_code_418","Invalid birthdate"
"billink_check_error_code_419","Email missing"
"billink_check_error_code_420","Incorrect email format"
"billink_check_error_code_421","Invalid birthdate"
"billink_check_error_code_422","Minimum age for orders via Billink is 18 years"
"billink_check_error_code_424","Incorrect house number format"
"billink_check_error_code_425","Incorrect delivery house number format"
"billink_check_error_code_427","Order amount missing"
"billink_check_error_code_428","Order amount too high"
"billink_check_error_code_429","Order amount too high"
"billink_check_error_code_430","Company name must be between 2 and 50 characters long"
"billink_check_error_code_431","House number extension must be between 0 and 10 characters long"
"billink_check_error_code_432","City missing"
"billink_check_error_code_433","City may only contain letters, spaces, and ' characters"
"billink_check_error_code_607","Client or customer not found"
#  Order service error translations
"billink_order_error_code_401","Missing workflow number"
"billink_order_error_code_402","Workflow with number %id% does not exist"
"billink_order_error_code_403","Invoice number has already been used"
"billink_order_error_code_404","Order number missing"
"billink_order_error_code_405","Date missing"
"billink_order_error_code_406","Choose between private and business"
"billink_order_error_code_407","Choose between private and business"
"billink_order_error_code_408","Company name missing"
"billink_order_error_code_410","Last name missing"
"billink_order_error_code_441","First name missing"
"billink_order_error_code_411","Choose between male or female"
"billink_order_error_code_412","Choose between male or female"
"billink_order_error_code_413","Street missing"
"billink_order_error_code_414","House number missing"
"billink_order_error_code_415","Postal code missing"
"billink_order_error_code_416","Incorrect postal code format"
"billink_order_error_code_417","Phone number missing, adjust this in your account (top right)"
"billink_order_error_code_418","Email missing"
"billink_order_error_code_419","Email missing"
"billink_order_error_code_420","Country code is invalid"
"billink_order_error_code_421","Missing birthdate"
"billink_order_error_code_422","Incorrect IP address format"
"billink_order_error_code_423","Missing order items"
"billink_order_error_code_425","Delivery address not allowed"
"billink_order_error_code_426","Account holder name missing"
"billink_order_error_code_427","Chamber of Commerce number missing"
"billink_order_error_code_428","Article code is too long"
"billink_order_error_code_429","Incorrect Chamber of Commerce number format. Must be between 5 and 25 characters."
"billink_order_error_code_430","Incorrect VAT value, use the following values %vat_values%."
"billink_order_error_code_431","Incorrect VAT number format"
"billink_order_error_code_432","Incorrect email address format"
"billink_order_error_code_433","Incorrect secondary email address format"
"billink_order_error_code_434","Invoice number does not meet requirements. Only alphanumeric characters are allowed. _ (underscore) and - (hyphen)."
"billink_order_error_code_435","Amount missing in order item"
"billink_order_error_code_436","Invoice number of the merchant does not meet requirements. Only alphanumeric characters are allowed. _ (underscore) and - (hyphen)."
"billink_order_error_code_437","Additional text missing"
"billink_order_error_code_438","Additional text does not meet requirements. Only alphanumeric characters are allowed. _ (underscore) and - (hyphen)."
"billink_order_error_code_439","Invoice number is too long. Maximum 50 characters allowed"
"billink_order_error_code_440","CHECK UUID unknown"
"billink_order_error_code_441","Incorrect mandate ID format, only numbers allowed"
