#  Check service error translations
"billink_check_error_code_501","Billink heeft uw aanvraag afgekeurd. Neem contact op met billink via www.billink.nl of kies een andere betaalmethode."
"billink_check_error_code_402","Het telefoonnummer is ongeldig"
"billink_check_error_code_406","Maak een keuze tussen particulier en bedrijf"
"billink_check_error_code_407","Maak een keuze tussen particulier en bedrijf"
"billink_check_error_code_408","Bedrijfsnaam ontbreekt"
"billink_check_error_code_410","Achternaam ontbreekt"
"billink_check_error_code_411","KvK ontbreekt"
"billink_check_error_code_412","Voornaam ontbreekt"
"billink_check_error_code_414","Huisnummer ontbreekt"
"billink_check_error_code_415","Postcode ontbreekt"
"billink_check_error_code_416","Verkeerde postcode formaat"
"billink_check_error_code_417","Telefoonummer ontbreekt, pas dit aan in uw account (rechts boven)"
"billink_check_error_code_418","Ongeldige geboortedatum"
"billink_check_error_code_422","Minimale leeftijd voor bestellingen via Billink is 16 jaarm"
"billink_check_error_code_607","Opdrachtgever of klant niet gevonden"
#  Order service error translations
"billink_order_error_code_406","Maak een keuze tussen particulier en bedrijf"
"billink_order_error_code_407","Maak een keuze tussen particulier en bedrijf"
"billink_order_error_code_408","Bedrijfsnaam ontbreekt"
"billink_order_error_code_410","Achternaam ontbreekt"
"billink_order_error_code_441","Voornaam ontbreekt"
"billink_order_error_code_411","Maak een keuze tussen man of vrouw"
"billink_order_error_code_412","Maak een keuze tussen man of vrouw"
"billink_order_error_code_413","Straat ontbreekt"
"billink_order_error_code_414","Huisnummer ontbreekt"
"billink_order_error_code_415","Postcode ontbreekt"
"billink_order_error_code_415","Stad ontbreekt"
"billink_order_error_code_417","Telefoonummer ontbreekt, pas dit aan in uw account (rechts boven)"
"billink_order_error_code_418","Email ontbreekt"
"billink_order_error_code_420","Landcode is ongeldig"
"billink_order_error_code_425","Rekeningnummer ontbreekt"
"billink_order_error_code_426","Naam van rekeninghouder ontbreekt"
"billink_order_error_code_427","KvK ontbreekt"
"billink_order_error_code_429","KvK is ongeldig"
"billink_order_error_code_443","Rekeningnummer is ongeldig"

"Workflow Type","Workflow Type"
"From","Van"
"To","Naar"
"Amount","Bedrag"
"Type","Type"
"Number","Nummer"
"Max Amount","Maximaal bedrag"
"With Check?","Met check?"
"Yes","Ja"
"No","Nee"
"Payment Fee","Betaalkosten"
"Missing UUID","Missende UUID"
"Private","Particulier"
"Business","Zakelijk"
"Please contact your system administrator with a code 5001","Neem aub contact op met uw administrator met vermelding van code 5001"
"Please contact your system administrator with a code 5002","Neem aub contact op met uw administrator met vermelding van code 5002"
"Please contact your system administrator with a code 5003","Neem aub contact op met uw administrator met vermelding van code 5003"
"Please contact your system administrator with a code 5004","Neem aub contact op met uw administrator met vermelding van code 5004"
"The Billink workflow for order %1 has started","The Billink workflow for order %1 has started"
"The start of the Billink workflow failed. Log in via the Billink portal to start the workflow from there.","The start of the Billink workflow failed. Log in via the Billink portal to start the workflow from there."
"Order totals do not match. ID: %d ; Calculated: %s ; QuoteTotal: %s" ,"Order totalen komen niet overeen. ID: %d; Gecalculeerd: %s;  Opgegeven Totaal: %s"
"Order totals do not match","Order totalen komen niet overeen"
"Chamber of commerce","Kamer van Koophandel"
"Sex","Geslacht"
"Man","Man"
"Female","Vrouw"
"Birthdate","Geboortedatum"
"Street name","Straat"
"House number","Huisnummer"
"House extension","Toevoeging huisnummer"
"Delivery Address","Bezorg adres"
"Delivery street name","Straat"
"Delivery house number","Huisnummer"
"Delivery house Extension","Huisnummer toevoeging"
"Add after","Voeg later toe"
"Checking module version...","Controle module versie..."
"Billink Billing Information","Billink betaalinformatie"
"Woman","Vrouw"
"Birthday","Geboortedatum"
"Delivery house extension","Huisnummer toevoeging"
"Place Order","Plaats bestelling"
"There was an error from server. Please refresh the page.","Helaas is er iets niet goed gegaan. Ververs de pagina om dit op te lossen."
"Version %1 is available!","Versie %1 is beschikbaar!"
"Billink","Billink"
"Version","Versie"
"Enabled","Geactiveerd"
"Title","Titel"
"Logo","Logo"
"Sort Order","Sorteer bestellingen"
"Billink Account Name","Billink gebruikersnaam"
"Billink Account ID","Billink ID"
"Debug Mode","Debug"
"If 'Yes' is selected, orders are sent to the Billink test environment. Select 'No' to use a normal production site.","Wanneer deze functie is ingeschakeld worden alle orders verzonden naar de testomgeving van Billink. Selecteer 'Nee' voor de productie-omgeving. "
"Enable Backdoor Option","Open backdoor optie (werkt alleen met een ingeschakelde testmodus)."
"Lets you determine what should be the result of the Billink credit check when the system is in Test mode.","Hiermee kunt u bepalen wat het gevolg zou zijn van de credit check van Billink wanneer het systeem in de testmodus staat."
"Workflow List","Workflow lijst"
"Is Alternate Delivery Address Allowed?","Alternatief afleveradres mogelijk?"
"Payment from Applicable Countries","Betalingen van geacepteerde landen"
"Payment From Specific Countries","Betalingen van specifieke landen."
"Order Total Check","Ordertotalen check"
"Billink Fee Active","Betaalkosten Billink actief"
"Billink Fee Label","Betaalkosten Billink label"
"Billink Fee Type","Billink betaalkosten type"
"Billink Fee Tax Class","Billink betaalkosten belasting klasse"
"Billink Fee Ranges","Billink betaalkosten reeks"
